# A tibble: 19 x 5
   UniSp2 UniSp4 UniSp6 `cel-miR-39-3p` UniSp3_IPC
    <dbl>  <dbl>  <dbl>           <dbl>      <dbl>
 1   26.4   33.4   18.3            26.9       18.9
 2   25.9   33.5   18.8            27.2       18.9
 3   24.7   32.5   19.5            27.8       18.8
 4   25.5   32.7   18.7            27.1       18.9
 5   26.0   33.2   19.2            27.7       18.9
 6   27.0   34.5   19.6            27.9       18.7
 7   25.8   32.8   18.7            26.9       18.8
 8   25.2   31.8   18.4            26.8       18.7
 9   25.7   33.4   18.6            27.0       18.8
10   25.4   33.3   18.7            27.1       18.6
11   25.7   33.4   18.5            27.0       19.1
12   27.0   34.1   19.6            27.8       18.5
13   25.3   32.4   18.8            27.0       18.8
14   25.8   33.0   18.6            26.8       18.6
15   27.4   35.1   18.8            27.1       18.8
16   26.4   34.6   18.7            27.2       18.6
17   26.7   34.6   18.6            26.7       19.1
18   25.5   32.8   19.6            27.6       18.7
19   25.5   32.5   19.6            27.9       18.7
