     UniSp2   UniSp4   UniSp6 cel-miR-39-3p UniSp3_IPC
1  26.35526 33.43526 18.34852      26.85852   18.91852
2  25.89409 33.48409 18.78852      27.16852   18.87852
3  24.72544 32.52544 19.51891      27.76891   18.76891
4  25.46171 32.73171 18.69852      27.07852   18.89852
5  26.00793 33.23793 19.19852      27.70852   18.86852
6  27.03925 34.47925 19.59891      27.92891   18.74891
7  25.81191 32.77191 18.73162      26.88162   18.76162
8  25.15356 31.76356 18.36162      26.75162   18.67162
9  25.69737 33.40737 18.56162      26.96162   18.78162
10 25.42700 33.28700 18.65162      27.07162   18.63162
11 25.66376 33.40376 18.47852      27.00852   19.10852
12 26.95670 34.11670 19.64891      27.84891   18.53891
13 25.27608 32.44608 18.78162      26.97162   18.76162
14 25.75616 33.01616 18.56162      26.83162   18.62162
15 27.41993 35.09993 18.82162      27.12162   18.76162
16 26.43489 34.57489 18.73162      27.21162   18.64162
17 26.69732 34.63732 18.56852      26.72852   19.14852
18 25.52425 32.84425 19.57891      27.61891   18.68891
19 25.52832 32.45832 19.59891      27.91891   18.73891
