$FFPE
      UniSp2   UniSp4   UniSp6 cel-miR-39-3p UniSp3_IPC
 1: 24.87412 32.37412 19.64891      28.30891   18.80891
 2: 25.03859 32.25859 19.24852      27.75852   18.89852
 3: 24.56234 32.15234 19.46891      27.86891   18.79891
 4: 23.84399 31.04399 18.68518      27.02185   18.66852
 5: 24.12229 31.47229 18.99852      27.85852   18.75852
 6: 24.81267 32.08267 19.79891      28.07891   18.74891
 7: 23.77375 31.27375 18.98162      27.51162   18.64162
 8: 24.78259 31.98259 18.41891      27.91891   18.74891
 9: 24.17614 31.15614 18.93162      27.40162   18.73162
10: 26.36612 33.54612 18.74162      27.39162   18.76162
11: 23.07073 30.99073 18.70852      27.16852   18.98852
12: 24.43888 31.65888 18.80162      27.14162   18.79162
13: 26.66098 33.17098 19.02162      27.34162   18.65162
14: 24.88066 32.08066 19.45891      27.72891   18.75891
15: 25.25898 32.61898 19.63891      27.90891   18.68891
16: 24.89281 31.70281 19.63891      27.72891   18.76891
17: 25.54518 32.70518 19.44852      27.79852   18.94852
18: 25.57193 33.42193 19.09852      27.76852   18.95852
19: 25.41027 32.91027 18.70852      27.13852   18.92852
20: 25.58788 32.71788 19.00852      27.26852   18.96852

$Fresh_frozen
      UniSp2   UniSp4   UniSp6 cel-miR-39-3p UniSp3_IPC
 1: 26.35526 33.43526 18.34852      26.85852   18.91852
 2: 25.89409 33.48409 18.78852      27.16852   18.87852
 3: 24.72544 32.52544 19.51891      27.76891   18.76891
 4: 25.46171 32.73171 18.69852      27.07852   18.89852
 5: 26.00793 33.23793 19.19852      27.70852   18.86852
 6: 27.03925 34.47925 19.59891      27.92891   18.74891
 7: 25.81191 32.77191 18.73162      26.88162   18.76162
 8: 25.15356 31.76356 18.36162      26.75162   18.67162
 9: 25.69737 33.40737 18.56162      26.96162   18.78162
10: 25.42700 33.28700 18.65162      27.07162   18.63162
11: 25.66376 33.40376 18.47852      27.00852   19.10852
12: 26.95670 34.11670 19.64891      27.84891   18.53891
13: 25.27608 32.44608 18.78162      26.97162   18.76162
14: 25.75616 33.01616 18.56162      26.83162   18.62162
15: 27.41993 35.09993 18.82162      27.12162   18.76162
16: 26.43489 34.57489 18.73162      27.21162   18.64162
17: 26.69732 34.63732 18.56852      26.72852   19.14852
18: 25.52425 32.84425 19.57891      27.61891   18.68891
19: 25.52832 32.45832 19.59891      27.91891   18.73891

$Plasma
      UniSp2   UniSp4   UniSp6 cel-miR-39-3p UniSp3_IPC
 1: 22.18852 29.78852 18.09852      27.06852   18.32852
 2: 20.98852 28.26852 18.53852      26.96852   18.36852
 3: 20.95852 28.52852 18.74852      27.14852   18.34852
 4: 21.49852 28.87852 18.66852      27.04852   18.37852
 5: 22.49852 29.56852 18.35852      26.77852   18.45852
 6: 19.51162 26.76162 18.60162      27.11162   18.63162
 7: 23.22162 30.06162 18.49162      26.81162   18.76162
 8: 22.35162 29.97162 18.77162      27.20162   18.64162
 9: 21.69162 28.33162 18.60162      27.00162   18.74162
10: 22.20162 28.71162 18.54162      26.77162   18.66162
11: 20.52852 27.72852 18.57852      26.73852   18.16852
12: 22.25162 29.14162 18.84162      26.93162   18.65162
13: 22.56162 28.89162 18.98162      26.99162   18.78162
14: 22.63162 29.61162 18.74162      27.04162   18.67162
15: 21.97162 29.63162 18.71162      26.76162   18.77162
16: 22.45162 29.55162 18.77162      27.10162   18.66162
17: 20.88852 28.13852 19.18852      26.71852   18.17852
18: 19.14852 26.55852 18.02852      26.33852   18.14852
19: 20.69852 28.18852 17.91852      26.75852   18.12852
20: 21.36852 28.95852 18.20852      26.31852   18.16852

