$FFPE
     UniSp2   UniSp4   UniSp6 cel-miR-39-3p UniSp3_IPC hsa-miR-30c-5p hsa-miR-103a-3p hsa-miR-191-5p hsa-miR-23a-3p hsa-miR-451a
1  24.87412 32.37412 19.64891      28.30891   18.80891       27.14891        25.55891       27.80891       26.10891     31.50891
2  25.03859 32.25859 19.24852      27.75852   18.89852       27.35852        27.56852       28.87852       26.52852     31.49852
3  24.56234 32.15234 19.46891      27.86891   18.79891       26.50891        25.31891       28.14891       25.69891     31.94891
4  23.84399 31.04399 18.68518      27.02185   18.66852       25.75185        25.33185       27.21518       24.63518     32.38852
5  24.12229 31.47229 18.99852      27.85852   18.75852       27.30852        25.47852       28.27852       26.23852     32.11852
6  24.81267 32.08267 19.79891      28.07891   18.74891       28.40891        26.49891       27.66891       27.06891     33.61891
7  23.77375 31.27375 18.98162      27.51162   18.64162       26.13162        24.88162       26.66162       24.68162     31.16162
8  24.78259 31.98259 18.41891      27.91891   18.74891       26.79891        27.64891       28.76891       26.18891     32.87891
9  24.17614 31.15614 18.93162      27.40162   18.73162       26.47162        25.90162       27.94162       25.93162     28.80162
10 26.36612 33.54612 18.74162      27.39162   18.76162       27.99162        28.15162       28.12162       26.89162     33.54162
11 23.07073 30.99073 18.70852      27.16852   18.98852       25.76852        25.25852       27.94852       24.93852     31.97852
12 24.43888 31.65888 18.80162      27.14162   18.79162       25.72162        25.88162       26.63162       24.81162     28.93162
13 26.66098 33.17098 19.02162      27.34162   18.65162       28.16162        28.06162       29.65162       28.57162     33.40162
14 24.88066 32.08066 19.45891      27.72891   18.75891       26.57891        26.21891       28.58891       26.19891     31.13891
15 25.25898 32.61898 19.63891      27.90891   18.68891       27.03891        25.02891       28.03891       27.08891     27.54891
16 24.89281 31.70281 19.63891      27.72891   18.76891       26.61891        26.56891       27.82891       24.89891     28.99891
17 25.54518 32.70518 19.44852      27.79852   18.94852       25.79852        26.48852       27.50852       24.25852     27.31852
18 25.57193 33.42193 19.09852      27.76852   18.95852       26.73852        28.00852       28.76852       26.03852     29.41852
19 25.41027 32.91027 18.70852      27.13852   18.92852       24.53852        27.93852       27.94852       25.43852     27.26852
20 25.58788 32.71788 19.00852      27.26852   18.96852       26.28852        26.98852       26.71852       24.14852     29.13852

$Fresh_frozen
     UniSp2   UniSp4   UniSp6 cel-miR-39-3p UniSp3_IPC hsa-miR-30c-5p hsa-miR-103a-3p hsa-miR-191-5p hsa-miR-23a-3p hsa-miR-451a
1  26.35526 33.43526 18.34852      26.85852   18.91852       24.70852        23.83852       25.26852       22.69852     28.09852
2  25.89409 33.48409 18.78852      27.16852   18.87852       25.10852        24.92852       26.04852       23.40852     26.44852
3  24.72544 32.52544 19.51891      27.76891   18.76891       23.92891        23.33891       26.57891       22.82891     28.53891
4  25.46171 32.73171 18.69852      27.07852   18.89852       24.24852        23.05852       25.19852       22.93852     29.36852
5  26.00793 33.23793 19.19852      27.70852   18.86852       25.53852        23.96852       27.13852       24.81852     28.18852
6  27.03925 34.47925 19.59891      27.92891   18.74891       26.78891        24.46891       25.62891       24.82891     29.92891
7  25.81191 32.77191 18.73162      26.88162   18.76162       24.41162        23.05162       24.94162       23.16162     29.77162
8  25.15356 31.76356 18.36162      26.75162   18.67162       22.67162        23.72162       24.85162       22.53162     28.18162
9  25.69737 33.40737 18.56162      26.96162   18.78162       24.10162        23.72162       25.47162       23.50162     29.06162
10 25.42700 33.28700 18.65162      27.07162   18.63162       24.37162        23.76162       23.84162       22.88162     28.45162
11 25.66376 33.40376 18.47852      27.00852   19.10852       23.26852        22.90852       26.02852       22.65852     28.08852
12 26.95670 34.11670 19.64891      27.84891   18.53891       24.15891        24.30891       25.05891       23.00891     27.90891
13 25.27608 32.44608 18.78162      26.97162   18.76162       23.55162        23.93162       25.14162       24.06162     28.36162
14 25.75616 33.01616 18.56162      26.83162   18.62162       24.74162        24.75162       27.00162       24.63162     29.61162
15 27.41993 35.09993 18.82162      27.12162   18.76162       25.60162        23.90162       26.59162       26.05162     29.61162
16 26.43489 34.57489 18.73162      27.21162   18.64162       24.45162        24.70162       25.94162       22.98162     29.05162
17 26.69732 34.63732 18.56852      26.72852   19.14852       24.73852        25.56852       26.72852       23.67852     28.17852
18 25.52425 32.84425 19.57891      27.61891   18.68891       24.92891        24.33891       25.88891       23.57891     27.55891
19 25.52832 32.45832 19.59891      27.91891   18.73891       25.17891        25.33891       25.50891       22.61891     26.51891

$Plasma
     UniSp2   UniSp4   UniSp6 cel-miR-39-3p UniSp3_IPC hsa-miR-30c-5p hsa-miR-103a-3p hsa-miR-191-5p hsa-miR-23a-3p hsa-miR-451a
1  22.18852 29.78852 18.09852      27.06852   18.32852       30.97852        28.36852       28.89852       27.91852     26.37852
2  20.98852 28.26852 18.53852      26.96852   18.36852       28.44852        26.08852       26.53852       26.04852     25.18852
3  20.95852 28.52852 18.74852      27.14852   18.34852       26.84852        23.74852       24.45852       23.15852     25.20852
4  21.49852 28.87852 18.66852      27.04852   18.37852       28.76852        25.48852       25.35852       25.18852     26.92852
5  22.49852 29.56852 18.35852      26.77852   18.45852       30.09852        27.65852       27.95852       27.18852     27.11852
6  19.51162 26.76162 18.60162      27.11162   18.63162       24.88162        22.69162       23.72162       22.63162     22.13162
7  23.22162 30.06162 18.49162      26.81162   18.76162       28.70162        25.62162       26.61162       26.05162     26.56162
8  22.35162 29.97162 18.77162      27.20162   18.64162       30.47162        27.78162       27.88162       27.16162     26.12162
9  21.69162 28.33162 18.60162      27.00162   18.74162       24.36162        21.03162       22.36162       21.89162     23.87162
